Location,Place_to_Go,Temperature
Kutch,Desert,37.9
Manali,Hill Station,16.1
Jaisalmer,Desert,13.0
Jaisalmer,Desert,17.4
Ooty,Hill Station,18.0
Delhi,Water Park,23.3
Mumbai,Beach,12.4
Kolkata,Water Park,39.3
Hyderabad,Water Park,26.6
Jaipur,Desert,15.2
Delhi,Water Park,23.9
Ooty,Hill Station,29.4
Jaisalmer,Desert,33.3
Kutch,Desert,15.1
Jaisalmer,Desert,24.7
Kutch,Desert,39.9
Kutch,Desert,39.9
Shimla,Hill Station,19.1
Darjeeling,Hill Station,26.6
Goa,Beach,11.0
Bikaner,Desert,30.0
Bikaner,Desert,34.2
Bikaner,Desert,30.0
Chennai,Beach,26.1
Darjeeling,Hill Station,12.0
Jaipur,Desert,12.9
Mumbai,Beach,14.8
Jaisalmer,Desert,37.1
Mumbai,Beach,23.1
Jaisalmer,Desert,20.5
Darjeeling,Hill Station,14.5
Mumbai,Beach,16.3
Darjeeling,Hill Station,16.3
Hyderabad,Water Park,30.5
Jaisalmer,Desert,15.6
Kutch,Desert,29.8
Jaipur,Desert,23.2
Puri,Beach,22.7
Puri,Beach,29.0
Mumbai,Beach,13.3
Manali,Hill Station,25.8
Darjeeling,Hill Station,24.1
Shimla,Hill Station,23.9
Bikaner,Desert,16.2
Hyderabad,Water Park,31.9
Delhi,Water Park,38.6
Jaisalmer,Desert,16.0
Hyderabad,Water Park,37.4
Darjeeling,Hill Station,29.6
Puri,Beach,39.2
Ooty,Hill Station,26.8
Hyderabad,Water Park,13.8
Mumbai,Beach,20.3
Kutch,Desert,38.5
Mumbai,Beach,13.5
Goa,Beach,35.4
Mumbai,Beach,30.9
Ooty,Hill Station,26.3
Kutch,Desert,32.9
Manali,Hill Station,25.4
Darjeeling,Hill Station,37.8
Puri,Beach,22.8
Bikaner,Desert,28.4
Mumbai,Beach,26.7
Shimla,Hill Station,16.3
Bikaner,Desert,10.4
Kolkata,Water Park,15.8
Delhi,Water Park,20.7
Bangalore,Water Park,39.8
Bikaner,Desert,28.2
Darjeeling,Hill Station,19.7
Bikaner,Desert,30.7
Bikaner,Desert,38.1
Shimla,Hill Station,34.8
Jaisalmer,Desert,39.8
Shimla,Hill Station,12.8
Goa,Beach,14.2
Kutch,Desert,31.9
Bikaner,Desert,13.3
Chennai,Beach,37.6
Jaipur,Desert,39.6
Hyderabad,Water Park,25.4
Mumbai,Beach,27.8
Manali,Hill Station,25.3
Chennai,Beach,25.6
Kutch,Desert,12.2
Darjeeling,Hill Station,29.8
Jaipur,Desert,18.3
Hyderabad,Water Park,36.0
Jaipur,Desert,12.4
Shimla,Hill Station,13.1
Hyderabad,Water Park,37.7
Hyderabad,Water Park,17.5
Shimla,Hill Station,35.9
Delhi,Water Park,37.3
Delhi,Water Park,10.2
Kolkata,Water Park,25.4
Manali,Hill Station,26.7
Jaisalmer,Desert,33.7
Shimla,Hill Station,24.2
Goa,Beach,10.9
Puri,Beach,33.5
Mumbai,Beach,29.5
Ooty,Hill Station,27.4
Mumbai,Beach,15.2
Bangalore,Water Park,25.9
Delhi,Water Park,20.8
Puri,Beach,37.1
Kutch,Desert,38.2
Shimla,Hill Station,27.9
Ooty,Hill Station,36.6
Manali,Hill Station,13.2
Chennai,Beach,24.9
Hyderabad,Water Park,33.0
Chennai,Beach,12.9
Ooty,Hill Station,31.6
Bikaner,Desert,36.9
Darjeeling,Hill Station,30.2
Jaipur,Desert,22.6
Kolkata,Water Park,31.2
Jaipur,Desert,21.9
Puri,Beach,34.0
Ooty,Hill Station,21.3
Kolkata,Water Park,32.5
Hyderabad,Water Park,17.7
Hyderabad,Water Park,21.2
Manali,Hill Station,28.0
Puri,Beach,30.4
Manali,Hill Station,29.5
Hyderabad,Water Park,25.7
Mumbai,Beach,24.2
Darjeeling,Hill Station,27.3
Delhi,Water Park,23.7
Kutch,Desert,16.1
Goa,Beach,30.1
Delhi,Water Park,19.1
Mumbai,Beach,32.3
Jaisalmer,Desert,28.4
Bikaner,Desert,34.9
Shimla,Hill Station,28.9
Kolkata,Water Park,26.1
Hyderabad,Water Park,14.1
Kolkata,Water Park,22.7
Delhi,Water Park,21.6
Jaisalmer,Desert,39.3
Delhi,Water Park,23.8
Hyderabad,Water Park,23.6
Mumbai,Beach,28.5
Mumbai,Beach,14.0
Mumbai,Beach,19.5
Jaipur,Desert,31.0
Jaipur,Desert,27.4
Bangalore,Water Park,14.0
Darjeeling,Hill Station,28.2
Manali,Hill Station,38.9
Bikaner,Desert,33.5
Mumbai,Beach,32.1
Mumbai,Beach,16.0
Jaisalmer,Desert,26.4
Bikaner,Desert,12.9
Manali,Hill Station,10.0
Jaisalmer,Desert,35.3
Kutch,Desert,30.1
Bangalore,Water Park,12.8
Shimla,Hill Station,19.3
Kutch,Desert,27.7
Jaipur,Desert,25.2
Delhi,Water Park,39.9
Bikaner,Desert,21.3
Bangalore,Water Park,31.1
Bikaner,Desert,14.5
Kutch,Desert,20.4
Kolkata,Water Park,34.3
Bangalore,Water Park,36.9
Puri,Beach,11.1
Hyderabad,Water Park,16.9
Bangalore,Water Park,26.3
Hyderabad,Water Park,36.0
Puri,Beach,26.4
Puri,Beach,15.1
Jaipur,Desert,35.8
Kutch,Desert,23.1
Ooty,Hill Station,36.0
Kutch,Desert,20.7
Mumbai,Beach,39.9
Bangalore,Water Park,17.2
Jaisalmer,Desert,17.8
Jaipur,Desert,12.4
Jaisalmer,Desert,34.8
Chennai,Beach,28.3
Puri,Beach,30.7
Puri,Beach,19.6
Bangalore,Water Park,22.9
Darjeeling,Hill Station,23.5
Puri,Beach,15.8
Shimla,Hill Station,14.1
Ooty,Hill Station,12.0
Bangalore,Water Park,27.5
Kutch,Desert,19.7
Ooty,Hill Station,30.6
Hyderabad,Water Park,11.2
Jaipur,Desert,25.4
Manali,Hill Station,34.9
Jaipur,Desert,18.0
Darjeeling,Hill Station,32.1
Delhi,Water Park,17.3
Goa,Beach,39.2
Manali,Hill Station,20.5
Goa,Beach,18.7
Bikaner,Desert,12.6
Shimla,Hill Station,23.4
Chennai,Beach,34.5
Shimla,Hill Station,17.4
Jaipur,Desert,23.8
Kutch,Desert,31.6
Puri,Beach,13.1
Darjeeling,Hill Station,35.3
Ooty,Hill Station,36.9
Bikaner,Desert,18.6
Kolkata,Water Park,19.8
Bangalore,Water Park,32.4
Kolkata,Water Park,21.0
Chennai,Beach,13.7
Mumbai,Beach,31.6
Puri,Beach,31.3
Mumbai,Beach,23.7
Bikaner,Desert,27.1
Manali,Hill Station,29.5
Delhi,Water Park,19.6
Bangalore,Water Park,39.1
Bangalore,Water Park,19.1
Darjeeling,Hill Station,20.2
Kutch,Desert,12.4
Manali,Hill Station,27.7
Bikaner,Desert,31.5
Chennai,Beach,30.7
Bangalore,Water Park,39.5
Bangalore,Water Park,27.9
Hyderabad,Water Park,36.8
Hyderabad,Water Park,22.2
Jaipur,Desert,32.0
Goa,Beach,15.0
Chennai,Beach,26.4
Jaipur,Desert,37.3
Puri,Beach,22.2
Puri,Beach,10.4
Kolkata,Water Park,17.5
Shimla,Hill Station,26.9
Goa,Beach,26.5
Kutch,Desert,17.5
Goa,Beach,14.4
Puri,Beach,29.4
Kolkata,Water Park,25.0
Kolkata,Water Park,16.9
Bangalore,Water Park,10.8
Goa,Beach,38.1
Kutch,Desert,33.5
Kutch,Desert,16.7
Shimla,Hill Station,29.1
Shimla,Hill Station,36.6
Chennai,Beach,30.2
Puri,Beach,11.0
Bangalore,Water Park,31.4
Shimla,Hill Station,14.3
Mumbai,Beach,32.0
Delhi,Water Park,36.7
Bikaner,Desert,36.4
Hyderabad,Water Park,13.0
Mumbai,Beach,37.3
Kolkata,Water Park,30.1
Delhi,Water Park,19.3
Goa,Beach,28.4
Puri,Beach,11.2
Kutch,Desert,29.3
Ooty,Hill Station,16.7
Kolkata,Water Park,12.9
Jaipur,Desert,36.8
Goa,Beach,10.3
Darjeeling,Hill Station,23.1
Mumbai,Beach,21.9
Chennai,Beach,34.7
Puri,Beach,26.8
Ooty,Hill Station,25.4
Darjeeling,Hill Station,23.6
Delhi,Water Park,14.0
Puri,Beach,17.5
Puri,Beach,25.5
Hyderabad,Water Park,19.5
Jaipur,Desert,25.1
Manali,Hill Station,13.8
Puri,Beach,26.3
Bikaner,Desert,27.8
Hyderabad,Water Park,38.9
Bangalore,Water Park,12.2
Puri,Beach,33.7
Manali,Hill Station,16.6
Kolkata,Water Park,25.9
Mumbai,Beach,35.8
Bangalore,Water Park,13.2
Mumbai,Beach,33.9
Chennai,Beach,37.9
Shimla,Hill Station,17.5
Mumbai,Beach,19.1
Jaipur,Desert,24.8
Kolkata,Water Park,38.2
Chennai,Beach,12.0
Jaisalmer,Desert,12.4
Bangalore,Water Park,23.8
Mumbai,Beach,12.1
Kolkata,Water Park,10.2
Goa,Beach,35.7
Goa,Beach,19.6
Shimla,Hill Station,24.1
Bikaner,Desert,23.6
Kutch,Desert,27.6
Manali,Hill Station,21.5
Goa,Beach,39.3
Hyderabad,Water Park,20.9
Manali,Hill Station,26.1
Hyderabad,Water Park,21.9
Manali,Hill Station,17.2
Jaisalmer,Desert,35.3
Kolkata,Water Park,29.8
Goa,Beach,25.4
Kolkata,Water Park,27.1
Ooty,Hill Station,35.8
Bangalore,Water Park,30.8
Shimla,Hill Station,12.6
Puri,Beach,29.0
Bikaner,Desert,29.0
Darjeeling,Hill Station,34.8
Manali,Hill Station,26.4
Hyderabad,Water Park,39.7
Puri,Beach,12.7
Chennai,Beach,16.2
Puri,Beach,16.5
Bangalore,Water Park,21.7
Kolkata,Water Park,11.2
Ooty,Hill Station,27.5
Chennai,Beach,39.9
Delhi,Water Park,37.9
Kutch,Desert,25.3
Jaipur,Desert,27.5
Ooty,Hill Station,31.1
Kolkata,Water Park,13.5
Jaisalmer,Desert,33.9
Ooty,Hill Station,18.2
Puri,Beach,32.0
Goa,Beach,25.8
Mumbai,Beach,20.2
Ooty,Hill Station,33.7
Chennai,Beach,38.0
Puri,Beach,33.8
Bangalore,Water Park,18.9
Bangalore,Water Park,19.6
Ooty,Hill Station,18.8
Darjeeling,Hill Station,34.7
Kolkata,Water Park,38.2
Jaipur,Desert,37.3
Ooty,Hill Station,31.2
Goa,Beach,26.1
Jaipur,Desert,18.2
Chennai,Beach,36.4
Hyderabad,Water Park,27.0
Jaisalmer,Desert,29.7
Bangalore,Water Park,14.1
Puri,Beach,34.1
Jaipur,Desert,30.8
Bangalore,Water Park,31.3
Chennai,Beach,23.2
Bangalore,Water Park,15.2
Kolkata,Water Park,29.3
Kolkata,Water Park,29.5
Kolkata,Water Park,16.4
Kolkata,Water Park,38.8
Delhi,Water Park,10.5
Bangalore,Water Park,12.4
Chennai,Beach,29.3
Mumbai,Beach,36.6
Chennai,Beach,38.4
Bangalore,Water Park,13.4
Jaisalmer,Desert,39.3
Kolkata,Water Park,13.8
Chennai,Beach,20.1
Kolkata,Water Park,25.8
Puri,Beach,35.6
Kutch,Desert,21.4
Ooty,Hill Station,23.3
Mumbai,Beach,26.7
Hyderabad,Water Park,38.6
Hyderabad,Water Park,28.0
Kutch,Desert,17.9
Puri,Beach,29.5
Kutch,Desert,26.2
Bikaner,Desert,31.5
Jaipur,Desert,12.2
Ooty,Hill Station,26.9
Bangalore,Water Park,14.1
Goa,Beach,13.4
Manali,Hill Station,10.7
Hyderabad,Water Park,27.0
Darjeeling,Hill Station,12.6
Goa,Beach,18.7
Chennai,Beach,35.8
Ooty,Hill Station,18.5
Bikaner,Desert,26.6
Mumbai,Beach,37.2
Jaisalmer,Desert,39.2
Kolkata,Water Park,25.6
Delhi,Water Park,28.0
Jaipur,Desert,33.5
Delhi,Water Park,33.9
Chennai,Beach,20.7
Chennai,Beach,30.4
Shimla,Hill Station,21.9
Chennai,Beach,37.6
Ooty,Hill Station,25.4
Kutch,Desert,35.0
Hyderabad,Water Park,34.6
Shimla,Hill Station,16.8
Bikaner,Desert,38.4
Jaisalmer,Desert,31.9
Manali,Hill Station,22.6
Manali,Hill Station,39.6
Mumbai,Beach,26.7
Jaisalmer,Desert,36.5
Hyderabad,Water Park,32.1
Bangalore,Water Park,16.0
Manali,Hill Station,15.5
Hyderabad,Water Park,26.5
Shimla,Hill Station,28.8
Darjeeling,Hill Station,26.1
Goa,Beach,33.9
Delhi,Water Park,14.6
Manali,Hill Station,19.3
Kolkata,Water Park,27.0
Kolkata,Water Park,13.3
Kolkata,Water Park,38.4
Bangalore,Water Park,10.1
Darjeeling,Hill Station,22.8
Manali,Hill Station,29.7
Kolkata,Water Park,37.9
Puri,Beach,29.4
Puri,Beach,22.6
Shimla,Hill Station,39.2
Bangalore,Water Park,36.3
Hyderabad,Water Park,15.2
Kolkata,Water Park,38.4
Mumbai,Beach,31.7
Delhi,Water Park,16.8
Chennai,Beach,20.9
Jaipur,Desert,26.8
Bangalore,Water Park,26.7
Kolkata,Water Park,26.0
Jaipur,Desert,22.5
Jaisalmer,Desert,12.7
Bikaner,Desert,26.1
Manali,Hill Station,14.0
Mumbai,Beach,36.5
Delhi,Water Park,33.3
Delhi,Water Park,23.6
Mumbai,Beach,38.4
Bikaner,Desert,37.9
Goa,Beach,21.5
Bikaner,Desert,15.9
Bangalore,Water Park,17.4
Mumbai,Beach,36.7
Manali,Hill Station,30.2
Delhi,Water Park,24.9
Jaisalmer,Desert,34.0
Hyderabad,Water Park,22.0
Hyderabad,Water Park,20.5
Jaisalmer,Desert,29.2
Kutch,Desert,31.1
Manali,Hill Station,28.0
Chennai,Beach,36.8
Mumbai,Beach,31.2
Puri,Beach,16.1
Puri,Beach,27.4
Darjeeling,Hill Station,15.7
Shimla,Hill Station,38.6
Jaisalmer,Desert,28.4
Darjeeling,Hill Station,30.8
Jaipur,Desert,15.4
Chennai,Beach,11.5
Jaisalmer,Desert,23.1
Jaisalmer,Desert,18.1
Goa,Beach,23.8
Chennai,Beach,15.9
Bangalore,Water Park,35.5
Mumbai,Beach,15.6
Puri,Beach,27.6
Darjeeling,Hill Station,22.1
Bangalore,Water Park,22.7
Kolkata,Water Park,29.0
Puri,Beach,16.3
Chennai,Beach,31.1
Bangalore,Water Park,20.7
Kutch,Desert,35.2
Shimla,Hill Station,36.5
Bangalore,Water Park,18.0
Jaipur,Desert,25.8
Darjeeling,Hill Station,27.0
Kolkata,Water Park,34.3
Manali,Hill Station,30.8
Jaipur,Desert,17.7
Kolkata,Water Park,39.3
Ooty,Hill Station,11.8
Bikaner,Desert,11.6
Bikaner,Desert,31.9
Darjeeling,Hill Station,14.7
Hyderabad,Water Park,26.7
Shimla,Hill Station,22.5
Jaipur,Desert,27.4
Darjeeling,Hill Station,15.3
Kutch,Desert,10.3
Ooty,Hill Station,36.6
Delhi,Water Park,19.0
Hyderabad,Water Park,23.8
Bangalore,Water Park,21.3
Bangalore,Water Park,30.3
Ooty,Hill Station,12.0
Ooty,Hill Station,28.2
Delhi,Water Park,10.6
Puri,Beach,20.9
Ooty,Hill Station,33.7
Delhi,Water Park,20.9
Darjeeling,Hill Station,11.6
Delhi,Water Park,18.2
Kolkata,Water Park,10.2
Bikaner,Desert,24.3
Goa,Beach,39.6
Goa,Beach,30.2
Manali,Hill Station,38.0
Mumbai,Beach,25.6
Hyderabad,Water Park,21.0
Kutch,Desert,29.0
Mumbai,Beach,38.0
Mumbai,Beach,37.9
Goa,Beach,15.5
Darjeeling,Hill Station,19.2
Jaipur,Desert,29.0
Hyderabad,Water Park,10.1
Shimla,Hill Station,18.1
Kolkata,Water Park,35.0
Jaisalmer,Desert,23.8
Kutch,Desert,14.5
Kolkata,Water Park,17.6
Kolkata,Water Park,27.7
Delhi,Water Park,22.0
Mumbai,Beach,32.7
Puri,Beach,26.1
Chennai,Beach,14.8
Kolkata,Water Park,17.5
Hyderabad,Water Park,20.5
Goa,Beach,13.5
Hyderabad,Water Park,31.8
Bangalore,Water Park,27.7
Kolkata,Water Park,16.7
Kolkata,Water Park,10.5
Ooty,Hill Station,24.7
Bikaner,Desert,24.7
Ooty,Hill Station,25.7
Shimla,Hill Station,15.8
Puri,Beach,25.4
Jaisalmer,Desert,39.2
Ooty,Hill Station,14.3
Bikaner,Desert,32.1
Manali,Hill Station,27.9
Kolkata,Water Park,36.1
Bikaner,Desert,11.9
Shimla,Hill Station,17.7
Jaisalmer,Desert,35.2
Puri,Beach,38.5
Bikaner,Desert,30.8
Puri,Beach,31.6
Bikaner,Desert,29.5
Ooty,Hill Station,13.4
Mumbai,Beach,38.5
Bangalore,Water Park,17.2
Delhi,Water Park,17.8
Bikaner,Desert,19.6
Chennai,Beach,15.3
Jaisalmer,Desert,14.0
Hyderabad,Water Park,38.1
Jaipur,Desert,28.0
Jaisalmer,Desert,21.5
Puri,Beach,34.7
Jaipur,Desert,23.1
Bangalore,Water Park,23.4
Bangalore,Water Park,33.8
Jaisalmer,Desert,30.2
Mumbai,Beach,25.9
Delhi,Water Park,29.2
Bangalore,Water Park,39.8
Puri,Beach,15.9
Delhi,Water Park,36.6
Bikaner,Desert,33.0
Bangalore,Water Park,30.3
Manali,Hill Station,34.1
Delhi,Water Park,12.9
Bangalore,Water Park,13.9
Darjeeling,Hill Station,26.5
Bikaner,Desert,24.9
Shimla,Hill Station,29.2
Jaipur,Desert,22.7
Bikaner,Desert,30.7
Ooty,Hill Station,21.3
Jaipur,Desert,24.9
Jaipur,Desert,28.6
Kolkata,Water Park,31.1
Hyderabad,Water Park,13.2
Hyderabad,Water Park,32.7
Bikaner,Desert,23.8
Bikaner,Desert,33.5
Hyderabad,Water Park,38.3
Chennai,Beach,18.9
Mumbai,Beach,10.9
Puri,Beach,20.0
Manali,Hill Station,38.5
Bikaner,Desert,30.9
Jaisalmer,Desert,24.9
Ooty,Hill Station,28.3
Goa,Beach,20.7
Jaipur,Desert,38.9
Manali,Hill Station,36.3
Manali,Hill Station,23.7
Bangalore,Water Park,35.6
Chennai,Beach,13.0
Delhi,Water Park,16.8
Hyderabad,Water Park,17.3
Shimla,Hill Station,24.7
Kolkata,Water Park,15.9
Jaipur,Desert,28.1
Jaisalmer,Desert,34.3
Ooty,Hill Station,15.6
Bangalore,Water Park,25.2
Mumbai,Beach,12.6
Jaipur,Desert,20.4
Jaipur,Desert,35.5
Jaipur,Desert,21.6
Kutch,Desert,16.9
Delhi,Water Park,33.1
Jaisalmer,Desert,11.0
Ooty,Hill Station,32.0
Kolkata,Water Park,33.8
Jaipur,Desert,23.8
Manali,Hill Station,23.3
Shimla,Hill Station,22.4
Jaisalmer,Desert,10.5
Puri,Beach,10.6
Shimla,Hill Station,17.3
Manali,Hill Station,17.9
Chennai,Beach,24.4
Delhi,Water Park,15.4
Ooty,Hill Station,35.1
Ooty,Hill Station,25.5
Jaisalmer,Desert,35.3
Mumbai,Beach,32.5
Kutch,Desert,22.8
Mumbai,Beach,37.1
Manali,Hill Station,24.6
Bikaner,Desert,32.0
Kutch,Desert,21.6
Shimla,Hill Station,15.8
Goa,Beach,18.3
Shimla,Hill Station,23.3
Delhi,Water Park,29.3
Jaipur,Desert,33.7
Chennai,Beach,21.5
Manali,Hill Station,25.0
Kolkata,Water Park,35.1
Puri,Beach,18.8
Darjeeling,Hill Station,13.6
Ooty,Hill Station,17.3
Hyderabad,Water Park,38.0
Chennai,Beach,32.9
Darjeeling,Hill Station,27.0
Bikaner,Desert,23.2
Kolkata,Water Park,38.1
Kolkata,Water Park,37.5
Goa,Beach,21.4
Shimla,Hill Station,24.5
Jaipur,Desert,26.7
Hyderabad,Water Park,29.0
Kolkata,Water Park,10.4
Jaipur,Desert,19.2
Mumbai,Beach,26.2
Delhi,Water Park,31.9
Jaipur,Desert,36.3
Hyderabad,Water Park,12.3
Bikaner,Desert,28.7
Jaipur,Desert,29.3
Delhi,Water Park,23.2
Jaisalmer,Desert,20.3
Hyderabad,Water Park,35.2
Shimla,Hill Station,16.1
Mumbai,Beach,21.4
Manali,Hill Station,36.9
Jaisalmer,Desert,30.0
Jaisalmer,Desert,17.3
Darjeeling,Hill Station,16.0
Ooty,Hill Station,29.8
Hyderabad,Water Park,20.3
Goa,Beach,36.0
Mumbai,Beach,26.0
Chennai,Beach,29.3
Jaisalmer,Desert,27.9
Kolkata,Water Park,26.3
Shimla,Hill Station,16.2
Mumbai,Beach,26.2
Hyderabad,Water Park,35.2
Mumbai,Beach,23.9
Chennai,Beach,24.8
Bangalore,Water Park,24.2
Manali,Hill Station,28.5
Chennai,Beach,37.9
Mumbai,Beach,18.0
Hyderabad,Water Park,21.3
Chennai,Beach,39.3
Jaisalmer,Desert,25.6
Manali,Hill Station,39.2
Goa,Beach,27.6
Mumbai,Beach,28.4
Ooty,Hill Station,19.3
Manali,Hill Station,30.2
Darjeeling,Hill Station,31.6
Hyderabad,Water Park,13.8
Darjeeling,Hill Station,35.3
Goa,Beach,16.3
Puri,Beach,28.9
Darjeeling,Hill Station,34.3
Shimla,Hill Station,18.5
Puri,Beach,34.8
Bikaner,Desert,12.3
Shimla,Hill Station,33.5
Bikaner,Desert,17.9
Shimla,Hill Station,29.7
Jaisalmer,Desert,36.1
Shimla,Hill Station,19.3
Chennai,Beach,10.7
Chennai,Beach,14.2
Bangalore,Water Park,24.8
Delhi,Water Park,29.2
Manali,Hill Station,37.2
Bangalore,Water Park,21.9
Goa,Beach,23.5
Ooty,Hill Station,29.2
Mumbai,Beach,18.4
Hyderabad,Water Park,15.8
Ooty,Hill Station,11.0
Mumbai,Beach,22.2
Hyderabad,Water Park,30.7
Bikaner,Desert,21.0
Bikaner,Desert,16.0
Bikaner,Desert,13.3
Hyderabad,Water Park,28.7
Delhi,Water Park,39.2
Bangalore,Water Park,26.2
Jaipur,Desert,23.0
Delhi,Water Park,18.8
Kolkata,Water Park,19.6
Jaisalmer,Desert,26.4
Shimla,Hill Station,34.1
Delhi,Water Park,33.9
Kolkata,Water Park,21.5
Ooty,Hill Station,32.5
Bikaner,Desert,32.8
Manali,Hill Station,28.0
Mumbai,Beach,17.6
Chennai,Beach,31.9
Jaipur,Desert,16.9
Darjeeling,Hill Station,16.8
Puri,Beach,15.3
Kutch,Desert,29.6
Ooty,Hill Station,19.3
Bangalore,Water Park,19.7
Ooty,Hill Station,18.8
Mumbai,Beach,36.8
Delhi,Water Park,23.7
Puri,Beach,30.5
Ooty,Hill Station,36.8
Darjeeling,Hill Station,37.3
Shimla,Hill Station,31.7
Goa,Beach,38.3
Manali,Hill Station,17.0
Hyderabad,Water Park,33.8
Mumbai,Beach,35.7
Ooty,Hill Station,31.9
Hyderabad,Water Park,10.4
Bikaner,Desert,12.9
Mumbai,Beach,33.2
Ooty,Hill Station,12.2
Puri,Beach,29.3
Delhi,Water Park,35.5
Kutch,Desert,16.0
Bikaner,Desert,20.6
Goa,Beach,25.1
Puri,Beach,11.2
Goa,Beach,22.3
Jaisalmer,Desert,20.4
Delhi,Water Park,38.6
Jaisalmer,Desert,39.8
Darjeeling,Hill Station,27.8
Darjeeling,Hill Station,19.0
Puri,Beach,13.7
Kutch,Desert,24.6
Kutch,Desert,35.6
Kutch,Desert,39.4
Kutch,Desert,39.0
Chennai,Beach,36.4
Shimla,Hill Station,17.8
Manali,Hill Station,20.0
Manali,Hill Station,37.5
Chennai,Beach,26.5
Puri,Beach,36.6
Ooty,Hill Station,30.7
Darjeeling,Hill Station,19.0
Goa,Beach,36.7
Kutch,Desert,21.5
Bangalore,Water Park,27.9
Darjeeling,Hill Station,39.3
Kolkata,Water Park,12.4
Hyderabad,Water Park,28.1
Manali,Hill Station,14.3
Darjeeling,Hill Station,11.0
Hyderabad,Water Park,39.4
Delhi,Water Park,13.5
Goa,Beach,35.3
Kutch,Desert,17.8
Puri,Beach,16.8
Puri,Beach,22.1
Shimla,Hill Station,32.6
Darjeeling,Hill Station,22.3
Jaipur,Desert,15.5
Delhi,Water Park,26.7
Delhi,Water Park,13.0
Bangalore,Water Park,27.0
Kutch,Desert,19.5
Manali,Hill Station,29.4
Darjeeling,Hill Station,28.8
Bangalore,Water Park,21.9
Bangalore,Water Park,34.4
Jaisalmer,Desert,11.9
Kolkata,Water Park,27.9
Shimla,Hill Station,35.8
Puri,Beach,37.4
Kutch,Desert,12.8
Chennai,Beach,33.8
Darjeeling,Hill Station,33.8
Manali,Hill Station,23.6
Jaipur,Desert,10.7
Kutch,Desert,21.0
Darjeeling,Hill Station,27.1
Kutch,Desert,16.9
Delhi,Water Park,35.4
Puri,Beach,19.4
Jaisalmer,Desert,19.4
Puri,Beach,14.1
Hyderabad,Water Park,39.5
Goa,Beach,24.8
Ooty,Hill Station,16.8
Hyderabad,Water Park,29.0
Bikaner,Desert,15.1
Puri,Beach,25.4
Goa,Beach,25.5
Ooty,Hill Station,29.5
Manali,Hill Station,28.5
Chennai,Beach,35.5
Goa,Beach,15.3
Shimla,Hill Station,11.8
Bikaner,Desert,27.4
Goa,Beach,36.2
Kutch,Desert,15.1
Goa,Beach,29.2
Mumbai,Beach,11.0
Jaisalmer,Desert,26.3
Ooty,Hill Station,26.7
Goa,Beach,34.3
Darjeeling,Hill Station,35.3
Darjeeling,Hill Station,20.5
Jaisalmer,Desert,33.4
Chennai,Beach,13.2
Mumbai,Beach,33.9
Shimla,Hill Station,29.7
Bikaner,Desert,11.4
Jaisalmer,Desert,31.1
Hyderabad,Water Park,21.2
Kutch,Desert,17.2
Mumbai,Beach,38.6
Manali,Hill Station,16.6
Mumbai,Beach,20.1
Delhi,Water Park,38.2
Shimla,Hill Station,38.5
Delhi,Water Park,28.6
Bikaner,Desert,37.1
Kutch,Desert,23.5
Hyderabad,Water Park,23.0
Kutch,Desert,27.5
Hyderabad,Water Park,34.7
Kutch,Desert,26.5
Kolkata,Water Park,25.7
Hyderabad,Water Park,39.0
Jaisalmer,Desert,18.7
Jaisalmer,Desert,30.0
Puri,Beach,19.0
Jaipur,Desert,29.3
Hyderabad,Water Park,28.4
Kolkata,Water Park,28.1
Chennai,Beach,26.7
Jaisalmer,Desert,36.5
Mumbai,Beach,36.0
Bikaner,Desert,19.4
Puri,Beach,20.9
Darjeeling,Hill Station,16.3
Mumbai,Beach,26.1
Hyderabad,Water Park,21.4
Mumbai,Beach,26.7
Delhi,Water Park,20.7
Bikaner,Desert,17.2
Jaipur,Desert,11.9
Jaipur,Desert,28.2
Ooty,Hill Station,22.0
Darjeeling,Hill Station,32.0
Bangalore,Water Park,27.6
Delhi,Water Park,20.1
Manali,Hill Station,17.1
Manali,Hill Station,15.1
Kolkata,Water Park,29.5
Chennai,Beach,33.7
Manali,Hill Station,12.3
Ooty,Hill Station,27.7
Mumbai,Beach,15.2
Jaipur,Desert,24.9
Puri,Beach,18.0
Goa,Beach,20.6
Darjeeling,Hill Station,16.9
Manali,Hill Station,39.2
Bangalore,Water Park,29.2
Kutch,Desert,15.8
Jaipur,Desert,17.0
Bikaner,Desert,21.1
Kolkata,Water Park,32.7
Jaisalmer,Desert,10.5
Chennai,Beach,20.2
Kolkata,Water Park,22.8
Delhi,Water Park,29.7
Kolkata,Water Park,34.2
Kolkata,Water Park,18.2
Jaisalmer,Desert,23.7
Bangalore,Water Park,22.0
Chennai,Beach,36.1
Delhi,Water Park,15.6
Kutch,Desert,22.8
Jaisalmer,Desert,35.8
Bikaner,Desert,31.8
Jaipur,Desert,33.6
Hyderabad,Water Park,33.5
Kolkata,Water Park,21.6
Goa,Beach,10.1
Kolkata,Water Park,10.7
Manali,Hill Station,28.2
Darjeeling,Hill Station,33.5
Jaipur,Desert,10.4
Jaisalmer,Desert,23.0
Goa,Beach,28.6
Kutch,Desert,24.5
Shimla,Hill Station,36.3
Bikaner,Desert,12.0
Shimla,Hill Station,18.2
Shimla,Hill Station,34.0
Ooty,Hill Station,17.3
Goa,Beach,29.1
Manali,Hill Station,14.3
Jaipur,Desert,18.9
